ABCC11,ACTA2,ACTG2,ADAM9,ADGRE5,AIF1,AKR1C1,ANGPT2,ANKRD28,ANKRD29,ANKRD30A,APOBEC3B,APOC1,AQP1,AR,AVPR1A,BACE2,BASP1,BTNL9,C1QA,C1QC,C2orf42,C6orf132,CAV1,CAVIN2,CCDC6,CCDC80,CCL5,CCL8,CCND1,CCPG1,CD14,CD163,CD247,CD3D,CD3E,CD3G,CD4,CD68,CD69,CD83,CD86,CD8A,CD8B,CD9,CD93,CDC42EP1,CDH1,CEACAM6,CENPF,CLDN4,CLEC14A,CRISPLD2,CTLA4,CTTN,CXCL12,CXCL16,CXCR4,CYTIP,DAPK3,DMKN,DNTTIP1,DPT,DSC2,DSP,DST,DUSP2,DUSP5,EDNRB,EGFL7,EGFR,EIF4EBP1,ELF3,ENAH,EPCAM,ERBB2,ERN1,ESM1,ESR1,FAM107B,FAM49A,FASN,FBLIM1,FBLN1,FCER1G,FCGR3A,FGL2,FLNB,FOXA1,FSTL3,GATA3,GJB2,GLIPR1,GPR183,GZMA,HAVCR2,HDC,HMGA1,HOOK2,HOXD8,HOXD9,HPX,IGF1,IGSF6,IL2RG,IL3RA,IL7R,ITGAM,ITGAX,ITM2C,JUP,KARS,KDR,KLF5,KLRB1,KRT15,KRT7,KRT8,LAG3,LARS,LDHB,LGALSL,LPL,LPXN,LRRC15,LUM,LYPD3,LYZ,MAP3K8,MDM2,MEDAG,MKI67,MLPH,MMP1,MMP2,MMRN2,MNDA,MRC1,MYLK,MYO5B,MZB1,NARS,NOSTRIN,NPM3,OCIAD2,OXTR,PCLAF,PCOLCE,PDE4A,PDGFRA,PDGFRB,PDK4,PECAM1,PELI1,PIM1,POLR2J3,POSTN,PPARG,PRDM1,PTGDS,PTN,PTPRC,PTRHD1,QARS,RAB30,RAMP2,RAPGEF3,RHOH,RORC,RTKN2,RUNX1,S100A14,S100A4,SCD,SDC4,SEC11C,SEC24A,SELL,SERHL2,SERPINA3,SERPINB9,SFRP4,SH3YL1,SLAMF1,SLAMF7,SLC25A37,SLC5A6,SMAP2,SMS,SNAI1,SOX17,SQLE,SRPK1,STC1,SVIL,TACSTD2,TCF4,TCIM,TENT5C,TFAP2A,THAP2,TIFA,TMEM147,TOMM7,TOP2A,TPD52,TRAC,TRAF4,TRAPPC3,TRIB1,TUBA4A,TUBB2B,TYROBP,USP53,VOPP1,VWF,WARS,ZEB1,ZEB2,ZNF562
17,1,1,4,0,0,0,0,1,0,26,1,0,0,2,0,1,2,0,0,0,0,0,0,0,11,0,0,0,27,2,0,0,0,0,0,0,1,0,0,1,0,1,0,7,0,0,5,0,5,0,0,0,0,13,0,0,0,0,3,0,1,0,1,6,8,0,2,0,0,0,3,4,7,32,58,0,0,0,0,0,27,2,1,0,0,0,3,33,1,23,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,41,21,0,8,0,1,0,0,0,5,3,0,1,16,0,9,18,0,0,0,0,0,0,3,0,14,0,0,0,1,8,0,0,0,0,0,1,1,0,24,10,1,0,0,0,0,3,1,0,1,0,1,0,2,2,10,0,16,1,2,7,0,8,0,2,1,10,0,0,0,5,1,7,0,0,1,2,1,2,17,0,17,7,4,1,0,5,20,10,11,1,11,0,1,5,0,0,1,5,1,2,0,0,10
5,4,1,0,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,2,1,0,0,0,0,1,3,0,0,9,0,0,0,0,1,0,0,0,1,0,0,1,1,0,2,0,1,2,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,1,6,9,0,0,0,0,0,4,0,0,0,0,0,4,15,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,8,12,0,3,0,0,0,0,0,6,1,7,1,0,0,0,6,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,1,2,2,4,0,0,0,4,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,6,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,3,1,5,0,0,0,0,1,8,0,1,2,1,1,0,1,0,0,1,1,1,1,0,1,0
2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,3,1,2,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,1,3,13,1,1,0,0,0,2,0,0,0,0,0,1,2,0,8,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,1,0,0,0,0,0,0,5,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,1,0,1,0,1,0,2,0,0,0,0,0,2,3,1,0,0,1,0,0,0,1,0,2,5,2,0,0,1,2,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,1,0,4,0,0,0,0,0,0,15,0,0,1,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,2,0,1,0,0,0,0,3,4,12,19,0,0,0,1,0,8,0,0,0,1,0,0,13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,18,9,0,3,0,0,0,0,0,16,1,0,0,3,0,0,3,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,10,0,2,2,0,4,0,2,0,0,0,1,1,1,1,0,0,0,1,1,0,1,6,1,8,2,0,0,0,0,3,0,3,0,1,1,1,1,0,0,5,1,0,2,0,0,3
2,1,2,0,0,0,0,0,0,0,18,0,0,0,2,0,1,1,0,0,1,1,1,0,0,2,3,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,12,0,15,1,0,0,0,12,0,0,1,0,3,2,2,0,0,5,1,0,2,0,0,1,0,8,4,29,66,1,0,1,1,0,24,0,0,0,0,0,5,21,0,12,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,23,14,0,9,0,1,0,1,0,3,2,0,0,14,1,4,9,0,5,0,0,0,0,6,1,8,0,0,1,0,1,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,1,4,0,0,0,0,0,1,0,3,1,26,2,1,0,0,17,0,1,0,8,0,0,0,4,0,8,0,0,0,2,1,2,11,0,4,5,4,0,0,2,7,7,5,0,7,3,3,2,0,0,2,2,0,2,0,1,2
3,0,3,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,8,0,2,0,0,0,0,4,0,0,1,0,0,0,1,0,0,2,3,0,0,0,0,0,0,1,1,15,20,0,0,0,2,0,8,0,0,1,0,0,2,12,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,4,0,0,0,0,0,1,0,0,2,0,1,4,0,0,4,0,0,0,0,0,0,1,0,6,0,0,1,0,6,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,11,0,2,0,0,4,0,0,0,3,0,0,0,2,0,2,0,0,1,1,0,3,3,0,1,3,2,2,0,1,1,2,1,0,4,0,0,0,0,0,2,0,0,2,0,1,1
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,3,0,0,0,0,1,0,0,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,3,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,8,3,1,0,0,0,0,0,1,10,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,1,2,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,7,1,0,4,0,0,0,2,1,0,0,3,0,1,0,0,0,0,3,9,9,24,0,0,0,3,0,9,2,2,1,0,0,3,23,0,5,1,2,0,0,0,0,1,0,0,0,0,4,0,0,0,2,0,0,0,1,1,0,2,0,0,18,3,0,0,4,0,0,0,2,16,0,0,0,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,0,0,3,1,1,0,0,0,1,0,0,5,12,0,1,0,0,0,1,0,1,0,0,1,0,0,4,7,3,11,0,0,0,0,0,0,1,0,2,0,0,1,1,2,3,0,0,4,1,0,2,2,0,0,0,1,0,0,2,3,11,3,0,2,1,1,1,0,1,1,1,0,0,0,0,0
1,1,0,0,0,0,0,0,1,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,2,0,1,5,18,0,0,0,1,0,3,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,3,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,3,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4,0,1,0,0,1,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0,0,3,2,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0
0,1,4,3,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0,1,0,0,6,0,0,2,8,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,9,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,1,1,0,1,0,0,0,0,2,2,0,0,0,2,0,1,0,0,1,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,1,2,0,2,4,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,2,0,0,1,1,0,9,0,0,0,0,1,2,0,2,0,4,1,0,1,0,0,0,1,2,0,1,0,0
1,6,6,5,1,2,0,0,0,2,8,0,1,1,1,0,2,8,0,0,1,0,0,0,0,0,4,0,0,5,0,1,1,0,0,0,0,0,5,0,0,0,0,0,3,0,0,3,1,0,0,0,5,0,13,4,0,1,0,0,0,0,2,0,1,5,0,0,0,0,1,1,3,10,14,33,1,0,0,1,0,6,1,2,8,2,0,0,5,2,8,1,0,2,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,1,2,1,0,1,0,0,12,2,0,1,4,0,0,0,2,12,1,0,0,5,4,0,0,0,13,0,0,0,0,0,0,5,0,0,0,0,3,0,3,7,3,1,0,1,0,9,36,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,1,13,0,1,0,0,4,2,0,0,3,0,0,0,0,0,7,0,0,3,2,0,1,3,1,0,1,1,2,0,4,2,0,4,0,3,5,5,2,0,0,0,4,0,2,3,7,0
2,3,9,2,0,0,0,0,0,0,15,0,0,0,3,0,0,4,0,0,0,0,0,0,0,6,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,3,0,1,0,0,0,5,0,0,6,0,0,0,1,0,1,8,2,0,0,0,0,0,1,1,7,28,57,0,0,1,3,0,19,0,0,0,0,0,2,16,0,20,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,33,17,0,7,0,0,0,0,0,1,1,0,0,4,0,1,10,0,0,0,0,0,0,7,0,11,0,0,1,0,5,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,2,0,0,1,9,1,48,1,2,1,0,9,0,1,0,6,0,0,0,2,0,3,0,0,3,2,1,2,10,0,7,2,1,0,1,3,15,1,5,2,0,0,3,1,0,0,1,2,0,4,0,0,1
3,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,11,6,0,0,0,1,0,2,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,1,0,0,0,4,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,10,2,1,0,0,1,0,0,0,2,0,0,0,6,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,1,1,0,2,0,0,1,1,0,1,1,0,0,0,0,1
1,3,1,5,1,2,0,0,1,0,2,0,4,1,2,0,1,4,0,0,0,0,0,0,0,3,3,0,0,8,2,0,0,0,0,1,0,3,1,0,0,0,1,0,3,0,0,3,0,0,2,1,5,0,8,11,0,0,0,0,2,1,0,0,2,3,3,0,0,0,0,0,0,2,1,12,0,0,0,0,0,4,1,0,0,0,1,2,3,1,2,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,1,0,0,4,0,0,0,0,0,0,9,5,1,1,1,1,0,1,2,26,0,1,1,4,0,0,1,0,8,0,1,0,0,2,0,4,0,0,1,0,0,0,0,5,4,0,0,1,0,4,35,0,3,8,0,0,0,0,1,0,0,2,0,0,9,4,0,9,1,0,1,0,0,2,0,0,1,0,0,0,3,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,3,2,2,2,5,0,3,0,1,0,0,1,2,1,1,1,3,2
0,2,1,0,0,0,0,1,1,0,2,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,13,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,3,0,2,3,0,1,0,0,0,2,1,3,0,2,0,1,1,0,3,1,0,3,4,3,1,0,0,0,0,1,1,2,1,0,0,2,6,0,2,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,3,3,0,0,0,0,0,0,1,33,0,0,0,2,0,0,0,0,8,0,0,0,0,1,0,3,0,0,1,0,1,1,0,3,2,0,0,0,1,9,11,0,0,0,1,0,0,2,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,0,0,2,3,1,2,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,3,0,1,0,2,1
0,3,1,0,0,0,1,1,0,0,0,0,2,2,0,0,1,4,0,1,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,8,0,1,1,0,1,0,0,0,0,0,0,0,5,3,0,0,0,2,0,1,0,1,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,2,4,0,0,0,5,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,5,1,1,2,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,2,0,0,0,1,2,0,1,0,0,0,0,0,0,1,10,0
3,1,2,3,0,0,0,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,1,2,0,0,0,9,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,14,32,0,0,0,0,0,5,0,0,0,0,0,2,8,0,17,0,0,0,0,1,1,2,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,8,8,0,2,0,0,0,0,0,3,1,0,1,6,0,0,6,0,0,0,0,0,0,4,0,7,0,0,2,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,2,0,0,1,2,1,0,2,0,0,3,0,0,2,0,4,0,0,0,1,0,0,0,1,1,6,0,0,1,0,1,0,3,0,9,1,1,1,0,4,8,1,7,0,3,1,1,1,1,0,1,1,0,1,0,0,2
16,1,1,10,0,1,0,0,0,0,34,0,0,0,3,0,0,2,0,0,0,1,1,0,0,10,0,1,0,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13,0,3,1,0,0,0,11,0,0,3,0,1,0,0,0,2,3,6,0,1,0,0,0,1,1,11,37,47,0,0,0,0,1,16,0,0,2,0,0,2,37,0,34,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,2,0,0,48,8,0,4,0,0,0,0,0,1,5,0,0,9,0,1,21,0,1,0,0,0,0,2,0,10,0,0,2,0,1,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,5,1,0,1,2,0,1,2,4,1,32,1,2,5,0,5,0,1,0,2,0,0,0,2,2,4,0,0,3,1,0,2,14,0,3,2,9,0,0,5,16,0,8,0,2,0,0,0,1,0,2,4,0,5,0,0,3
7,1,4,0,0,0,0,1,1,0,8,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,1,1,0,0,4,1,0,4,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,4,12,18,0,0,0,3,0,17,0,0,0,0,0,1,18,0,12,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,6,0,3,0,0,0,0,0,3,3,0,0,3,0,0,15,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,15,0,4,1,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5,0,8,0,2,0,0,2,3,1,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0
1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,3,5,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,1,0,0,0,0,1,7,0,0,3,2,2,3,1,0,0,0,3,6,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,10,1,0,0,2,0,2,0,7,5,2,6,1,1,0,4,0,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,4,0,0,2,1,0,0,0,1,7,0,4,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,6,8,0,0,2,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,2,8,0,1,0,0,1,0,2,0,0,0,1,0,1,1,1,1
2,2,2,0,0,0,0,0,0,1,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,5,13,0,0,0,0,0,8,2,0,0,0,0,3,5,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,4,4,0,2,0,0,0,0,0,1,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,5,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,1,0,2,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0
5,0,0,7,0,0,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,1,1,0,0,0,5,0,1,3,0,1,2,0,0,0,2,2,0,0,0,0,0,0,1,1,19,26,0,0,0,1,0,10,0,0,0,0,0,1,15,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,20,10,0,0,0,0,0,0,0,0,1,0,0,6,0,0,5,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,5,0,0,0,0,1,0,0,0,0,10,0,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,1,3,3,0,0,1,9,0,5,0,2,0,0,1,0,0,5,3,0,0,0,0,0
4,0,1,5,0,0,0,0,0,0,12,0,0,0,1,0,1,0,0,0,1,0,1,0,0,7,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,1,0,8,0,0,1,0,0,0,0,0,1,5,4,0,1,0,0,0,0,1,3,24,58,0,0,0,0,0,15,0,0,0,0,0,1,16,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,0,2,0,1,0,0,0,3,0,0,0,1,0,1,4,0,0,0,0,1,1,11,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,7,1,1,0,0,0,0,0,1,0,0,2,0,0,0,1,6,2,19,0,1,0,0,4,0,0,0,1,0,0,0,0,0,4,0,0,3,1,1,0,4,0,5,3,2,0,0,3,9,2,4,0,3,1,3,1,0,0,0,1,0,0,0,0,2
0,0,0,3,0,0,0,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,1,4,0,0,1,0,0,0,0,2,1,6,25,1,0,0,0,0,9,0,0,0,0,0,0,11,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,12,0,4,0,0,0,0,0,0,1,0,0,3,0,6,1,0,0,0,1,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,4,2,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,1,0,3,2,1,0,0,2,1,6,6,0,2,1,0,6,0,0,1,1,0,0,0,0,0
2,5,0,2,0,0,0,0,0,0,6,0,0,0,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,8,2,2,0,0,0,0,7,0,1,1,0,0,0,3,0,0,3,6,0,3,0,0,1,0,2,6,31,36,1,0,0,1,0,4,0,0,1,0,0,1,14,0,9,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,3,0,2,0,0,21,10,0,4,0,3,0,0,0,3,1,0,0,7,0,1,6,0,0,0,0,0,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,8,1,1,0,0,0,2,0,2,1,0,0,2,0,0,1,2,0,7,1,1,1,0,1,0,2,0,1,0,0,0,0,0,4,0,0,4,0,0,0,8,0,4,3,1,0,0,2,7,0,2,0,1,2,3,0,2,0,1,1,0,0,0,0,1
2,0,3,1,0,0,0,0,0,0,11,0,10,0,3,0,1,2,0,0,0,0,1,0,0,5,0,0,0,17,3,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,5,0,5,4,0,0,0,4,0,1,3,0,0,1,1,0,1,5,11,0,0,0,0,0,1,0,4,16,21,0,0,0,0,0,6,0,0,0,0,0,2,10,0,10,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,7,5,0,1,0,0,0,0,0,6,2,0,1,8,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,3,6,1,0,0,0,0,0,3,0,0,0,2,0,3,3,1,0,16,0,1,1,0,1,0,0,0,5,0,0,0,1,0,4,0,0,1,1,0,6,5,0,1,2,4,0,0,0,5,2,3,0,0,2,1,1,0,0,0,3,0,5,0,0,4
6,1,0,4,0,0,0,0,0,0,14,0,2,0,4,0,0,2,0,0,0,0,0,0,0,3,0,0,0,28,2,0,0,0,0,0,0,0,2,0,0,1,0,0,8,0,0,4,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,4,1,0,0,0,0,0,1,2,4,8,29,2,0,0,0,0,14,0,0,1,0,0,2,26,0,17,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,18,9,0,3,0,2,0,0,0,0,3,1,1,3,0,0,8,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6,0,14,2,8,4,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,11,0,3,1,1,0,0,2,11,0,8,0,2,1,1,0,0,0,0,4,0,0,0,2,1
8,0,1,2,0,0,0,0,0,0,17,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,1,3,0,0,0,2,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,5,1,33,19,0,0,0,0,0,2,0,0,0,0,0,4,13,0,10,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,1,0,0,13,6,0,2,0,0,0,0,0,0,3,0,0,8,0,1,10,0,0,0,0,0,0,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,2,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,1,0,0,0,4,0,0,1,0,0,2,0,0,1,1,0,0,14,0,9,2,2,0,1,4,4,3,3,0,1,1,2,0,1,0,2,2,0,1,0,0,2
